Date,Time,Latitude,Longitude,Number_of_Casualties,Road_Surface_Conditions,Weather_Conditions,Light_Conditions,Speed_Limit
2012-01-08,00:16:56,51.600963693284804,-0.3459849025441616,4,Flood (Over 3cm of water),Fine,Daylight,70
2012-01-08,15:26:31,51.60132517275171,0.06752221577546502,2,Wet / Damp,Snowing,Darkness - lights lit,60
2012-01-08,06:27:27,51.58653013739041,-0.45087473348710266,2,Dry,Fine,Darkness - lights unlit,60
2012-01-08,06:45:00,51.567754169467946,0.23514779448839784,4,Frost / ice,Snowing,Darkness - lights lit,40
2012-01-09,20:34:25,51.49079676615127,-0.43514006708216096,1,Frost / ice,Fog,Darkness - lights lit,40
2012-01-09,22:59:58,51.556911265402846,0.23138510107533006,1,Frost / ice,Other,Daylight,20
2012-01-09,02:34:28,51.31534462191519,-0.10735420043783772,4,Frost / ice,Fine,Daylight,60
2012-01-09,03:23:05,51.54858576906271,-0.1415271097632641,5,Dry,Fog,Darkness - lights lit,40
2012-01-09,17:41:44,51.611151082214754,0.2786456636003013,5,Wet / Damp,Fine,Daylight,60
2012-01-09,10:51:39,51.500143344153756,0.29230734215857535,1,Snow,Fog,Darkness - lights lit,30
2012-01-09,02:22:51,51.44300533137089,0.020142500768809635,3,Dry,Raining,Darkness - lights unlit,20
2012-01-09,10:34:04,51.41097069392039,-0.3983045665143612,2,Wet / Damp,Fog,Darkness - lights lit,70
2012-01-09,14:13:34,51.55712082006483,-0.09506393147583797,3,Flood (Over 3cm of water),Snowing,Darkness - lights lit,60
2012-01-10,17:00:28,51.57712047945196,-0.07666951923547005,1,Wet / Damp,Raining,Darkness - lights unlit,40
2012-01-10,13:36:24,51.64838703994502,-0.08844285749175218,4,Wet / Damp,Raining,Daylight,20
2012-01-10,11:19:34,51.4369336329844,-0.04440652918399218,5,Wet / Damp,Snowing,Darkness - lights lit,50
2012-01-10,00:42:48,51.60790892295424,-0.4850202289644875,1,Dry,Fine,Daylight,20
2012-01-10,17:23:12,51.52454232967573,0.06898182517640195,3,Wet / Damp,Raining,Darkness - lights unlit,30
2012-01-10,18:46:03,51.65313459627124,0.06991544156239049,3,Wet / Damp,Fine,Darkness - lights lit,20
2012-01-10,00:44:55,51.51112484331825,-0.4076241798576897,1,Flood (Over 3cm of water),Other,Darkness - lights lit,70
2012-01-10,13:23:10,51.507051931359186,-0.04380844604335943,2,Flood (Over 3cm of water),Fog,Darkness - lights lit,70
2012-01-10,01:27:38,51.531150832576365,-0.045311054051380306,3,Frost / ice,Fog,Darkness - lights lit,60
2012-01-11,10:58:24,51.59972614205697,0.04596033615232009,2,Dry,Snowing,Daylight,60
2012-01-11,09:12:39,51.685876191531385,-0.4316818462919351,2,Wet / Damp,Snowing,Daylight,40
2012-01-11,03:53:06,51.3294253416863,0.0012026458128771012,4,Frost / ice,Fog,Darkness - lights unlit,40
2012-01-11,17:10:58,51.321373840956404,-0.2753984394029271,1,Frost / ice,Other,Daylight,20
2012-01-11,03:31:06,51.675020134962935,-0.09439760760306243,1,Dry,Snowing,Darkness - lights lit,70
2012-01-11,10:44:20,51.511950250207285,0.11865884216326139,2,Frost / ice,Other,Darkness - lights unlit,20
2012-01-11,00:59:21,51.54596120582678,0.06451674909041072,4,Frost / ice,Snowing,Darkness - lights lit,70
2012-01-11,07:27:34,51.49296944063789,-0.4048775858576053,3,Dry,Raining,Darkness - lights lit,20
2012-01-11,17:55:05,51.33746298104299,-0.027052170307141354,3,Snow,Fine,Darkness - lights unlit,60
2012-01-12,14:30:51,51.60723575136747,0.2752932247525909,1,Frost / ice,Fog,Darkness - lights lit,60
2012-01-12,06:17:42,51.598889858035434,-0.37458445013199815,2,Flood (Over 3cm of water),Fine,Darkness - lights lit,50
2012-01-12,02:19:52,51.424681328597124,0.18232567018033197,4,Frost / ice,Fog,Darkness - lights unlit,50
2012-01-12,08:28:55,51.42249569809136,0.062038464443021524,4,Dry,Snowing,Daylight,50
2012-01-12,21:50:03,51.63513655236221,0.11920265032780775,3,Dry,Fine,Darkness - lights unlit,40
2012-01-12,14:30:56,51.328942903096525,-0.2744333382858836,3,Snow,Other,Darkness - lights unlit,60
2012-01-12,09:47:02,51.652442059342626,-0.26968885649612606,5,Snow,Snowing,Darkness - lights unlit,20
2012-01-12,21:29:33,51.40266467595836,0.22481556462119057,5,Flood (Over 3cm of water),Raining,Daylight,20
2012-01-12,22:06:15,51.5371938991022,-0.21213437432595306,2,Flood (Over 3cm of water),Fine,Darkness - lights unlit,50
2012-01-13,23:30:51,51.674397671600715,-0.4495876874457516,5,Frost / ice,Fine,Daylight,40
2012-01-13,17:35:35,51.57124900061466,-0.019522637136439924,4,Snow,Raining,Darkness - lights lit,40
2012-01-13,03:02:45,51.46577192498681,-0.40014586476652586,5,Flood (Over 3cm of water),Fog,Darkness - lights unlit,50
2012-01-13,06:48:58,51.57581368356217,0.13727699312632657,1,Frost / ice,Snowing,Darkness - lights lit,20
2012-01-13,19:36:32,51.437591854526545,0.013397154000845957,1,Wet / Damp,Raining,Darkness - lights lit,40
2012-01-13,02:15:10,51.41090336653967,0.19978120417696665,3,Frost / ice,Other,Daylight,70
2012-01-13,22:01:49,51.69867331117388,0.12786979982610824,3,Flood (Over 3cm of water),Snowing,Darkness - lights lit,70
2012-01-13,07:34:26,51.600316092471914,-0.4103090813294431,2,Frost / ice,Raining,Darkness - lights lit,30
2012-01-13,14:43:12,51.55788799095273,-0.19514345885246215,1,Wet / Damp,Raining,Darkness - lights unlit,70
2012-01-14,23:02:28,51.442115857287725,0.11964819993166986,2,Flood (Over 3cm of water),Fine,Darkness - lights lit,50
2012-01-14,01:55:10,51.31966433166202,-0.16612682138693935,2,Frost / ice,Fine,Darkness - lights unlit,20
2012-01-14,00:03:26,51.31242275041406,0.27789238782398273,5,Flood (Over 3cm of water),Fine,Darkness - lights lit,30
2012-01-14,06:30:19,51.52167250217952,0.08859235991475944,3,Frost / ice,Snowing,Daylight,60
2012-01-14,14:03:56,51.604813088415625,-0.4876000666477432,2,Dry,Fog,Darkness - lights lit,20
2012-01-14,13:53:35,51.51495167617754,0.20398855324866916,2,Flood (Over 3cm of water),Snowing,Daylight,30
2012-01-14,15:04:28,51.63631402877565,-0.4193561721051539,3,Flood (Over 3cm of water),Fine,Darkness - lights unlit,60
2012-01-14,05:02:21,51.31337061323729,-0.3875810206559313,3,Flood (Over 3cm of water),Fine,Darkness - lights unlit,40
2012-01-14,22:19:16,51.44670083057038,0.08759392048884074,1,Flood (Over 3cm of water),Snowing,Darkness - lights lit,20
2012-01-15,19:58:30,51.39482815646967,0.1919748475443842,3,Frost / ice,Raining,Darkness - lights lit,20
2012-01-15,15:34:04,51.47890918726285,-0.07092029768035518,5,Snow,Raining,Darkness - lights unlit,40
2012-01-15,18:40:14,51.32895055727764,-0.26876021364337666,1,Frost / ice,Fine,Darkness - lights unlit,20
2012-01-15,09:23:47,51.68165265662843,-0.21894756379745955,2,Wet / Damp,Fine,Darkness - lights unlit,50
2012-01-15,15:30:20,51.38930216042774,-0.22568853632315516,5,Dry,Fog,Daylight,30
2012-01-15,17:23:43,51.66892311019344,-0.23865751695239018,5,Frost / ice,Raining,Darkness - lights lit,60
2012-01-15,22:42:14,51.47035726201467,-0.30567226254268015,1,Frost / ice,Fog,Darkness - lights unlit,60
2012-01-15,20:57:30,51.69420965330209,-0.012906324296613536,2,Flood (Over 3cm of water),Fine,Darkness - lights unlit,30
2012-01-15,06:11:39,51.521623353384086,0.22032425485205387,1,Wet / Damp,Fine,Darkness - lights lit,50
2012-01-16,12:06:25,51.67233314567032,-0.25433406953332705,4,Flood (Over 3cm of water),Fog,Darkness - lights lit,20
2012-01-16,17:47:24,51.30213959547768,-0.35064456203087035,4,Flood (Over 3cm of water),Fog,Daylight,40
2012-01-16,11:49:17,51.59929552247236,0.17086213309713993,1,Snow,Fine,Darkness - lights unlit,40
2012-01-16,13:38:00,51.661220261241006,0.09342666471176264,2,Dry,Other,Darkness - lights lit,20
2012-01-16,00:44:53,51.35588822679158,0.24466962524792846,2,Snow,Fine,Daylight,70
2012-01-16,19:12:43,51.33845034069286,-0.3675842115160723,3,Flood (Over 3cm of water),Raining,Darkness - lights unlit,60
2012-01-16,07:12:19,51.46982904287438,-0.3845989487067268,5,Dry,Fine,Daylight,30
2012-01-16,13:35:25,51.67347156245317,-0.06685648455600263,1,Frost / ice,Snowing,Darkness - lights lit,30
2012-01-16,11:55:41,51.51695462407618,-0.008453076131923754,5,Wet / Damp,Fine,Daylight,60
2012-01-16,06:03:54,51.51098258548869,-0.11586124651232832,5,Snow,Other,Darkness - lights unlit,30
2012-01-17,05:00:47,51.35645044731972,-0.020826690940899617,4,Wet / Damp,Raining,Darkness - lights lit,60
2012-01-17,07:15:05,51.30031580443728,-0.3556961848999429,4,Flood (Over 3cm of water),Fine,Darkness - lights unlit,50
2012-01-17,21:02:46,51.624056036298185,-0.11630899666873329,1,Dry,Fog,Daylight,20
2012-01-17,04:21:47,51.335029825194496,0.026474048751734314,1,Frost / ice,Raining,Daylight,60
2012-01-17,06:06:16,51.55353992749413,-0.15383484060103703,2,Dry,Raining,Daylight,50
2012-01-17,12:17:42,51.66584658180608,0.043557868653278375,1,Wet / Damp,Other,Darkness - lights lit,60
2012-01-17,06:36:16,51.38346076526337,-0.1390469755569283,2,Wet / Damp,Fog,Daylight,50
2012-01-17,08:21:20,51.566109134494766,-0.2331203353261782,2,Frost / ice,Snowing,Darkness - lights lit,50
2012-01-17,18:34:02,51.331479430683004,-0.2571159623303261,1,Frost / ice,Fine,Daylight,50
2012-01-18,17:02:53,51.54150205753505,-0.17127835280912956,2,Dry,Snowing,Daylight,20
2012-01-18,01:52:56,51.36557268838128,-0.48152830185423934,5,Snow,Fog,Darkness - lights lit,60
2012-01-18,15:16:56,51.59438142420607,0.034820110756890954,2,Dry,Raining,Darkness - lights lit,70
2012-01-18,02:37:54,51.42049251791756,0.17608451278420956,5,Wet / Damp,Other,Darkness - lights lit,60
2012-01-18,16:07:33,51.485356403521855,-0.21629832444550512,5,Dry,Other,Darkness - lights unlit,60
2012-01-18,06:05:59,51.53977221681105,-0.46317349108662514,5,Flood (Over 3cm of water),Raining,Daylight,50
2012-01-18,01:32:10,51.368509364266494,0.28942047790844616,3,Dry,Other,Darkness - lights unlit,30
2012-01-18,01:02:28,51.59665512744705,-0.28904139563914644,3,Dry,Snowing,Daylight,30
2012-01-18,03:45:45,51.42105613625473,-0.3987031026473816,2,Flood (Over 3cm of water),Raining,Daylight,60
2012-01-19,18:23:19,51.564948743965104,-0.20419799362157764,1,Wet / Damp,Fine,Daylight,30
2012-01-19,09:39:26,51.36331322027975,0.0908456325068453,2,Frost / ice,Fine,Daylight,70
2012-01-19,20:25:30,51.57524706368254,-0.2648667224875474,3,Dry,Fog,Darkness - lights unlit,30
2012-01-19,16:58:07,51.351275229124184,-0.040237436864409726,4,Snow,Raining,Daylight,30
2012-01-19,19:07:20,51.47014259850799,-0.16755200445028623,4,Frost / ice,Snowing,Darkness - lights unlit,50
2012-01-19,15:06:24,51.39888242949555,-0.4057888061787052,2,Snow,Raining,Darkness - lights lit,60
2012-01-19,14:10:05,51.59935009977127,-0.23577039000631178,3,Dry,Raining,Darkness - lights unlit,70
2012-01-19,12:56:16,51.40481400180275,0.07989640457125335,5,Snow,Snowing,Daylight,70
2012-01-19,10:55:53,51.65268692255816,-0.010396882134843466,3,Frost / ice,Other,Darkness - lights unlit,60
2012-01-20,17:13:23,51.656728084562644,-0.40417729609315123,2,Snow,Snowing,Darkness - lights unlit,70
2012-01-20,23:06:51,51.37857652608911,-0.36934207222855314,3,Snow,Raining,Darkness - lights lit,40
2012-01-20,14:38:53,51.54553837800309,0.012586687445956368,4,Frost / ice,Raining,Darkness - lights lit,40
2012-01-20,18:08:38,51.33508705668798,0.15073233145669507,5,Frost / ice,Raining,Darkness - lights lit,30
2012-01-20,06:34:24,51.456614839840654,-0.22042040323346457,2,Frost / ice,Raining,Daylight,60
2012-01-20,18:39:32,51.58532869180051,-0.02375139852523983,2,Frost / ice,Fog,Darkness - lights unlit,30
2012-01-20,23:46:56,51.56376929873997,-0.36348512899831575,1,Flood (Over 3cm of water),Other,Darkness - lights unlit,50
2012-01-20,07:25:36,51.549880267762646,-0.2508989304757409,5,Dry,Raining,Darkness - lights lit,60
2012-01-20,00:14:14,51.413016345464975,-0.4837838354615579,2,Frost / ice,Fog,Daylight,70
2012-01-21,10:43:43,51.45120997977376,0.11462075823961815,3,Wet / Damp,Raining,Daylight,50
2012-01-21,02:03:12,51.34117845788011,-0.17919214418162654,3,Snow,Other,Daylight,50
2012-01-21,15:28:00,51.58760912817344,0.15290045892316317,3,Frost / ice,Other,Darkness - lights lit,60
2012-01-21,12:58:37,51.50155551871651,0.06669839681818102,3,Frost / ice,Snowing,Daylight,30
2012-01-21,14:07:39,51.583506252938264,0.1629954125827816,2,Dry,Fog,Daylight,40
2012-01-21,07:18:29,51.39957740991875,-0.2714730643336938,4,Frost / ice,Other,Daylight,30
2012-01-21,17:42:14,51.42977529145403,-0.3519130156577238,5,Flood (Over 3cm of water),Fine,Darkness - lights lit,40
2012-01-21,19:34:27,51.43368613490404,0.2775245461213365,3,Wet / Damp,Raining,Darkness - lights lit,20
2012-01-21,14:37:42,51.310296963898885,0.07386222963269562,2,Wet / Damp,Other,Darkness - lights unlit,40
2012-01-22,03:31:28,51.43641914913225,0.16723381434133633,2,Frost / ice,Fog,Darkness - lights unlit,60
2012-01-22,07:02:22,51.621321829407215,-0.489493301032053,3,Dry,Fog,Darkness - lights unlit,40
2012-01-22,10:19:17,51.6589193982999,-0.2164307037632907,1,Frost / ice,Fog,Darkness - lights lit,20
2012-01-22,18:51:03,51.50728732625437,0.09425335246186539,2,Snow,Snowing,Darkness - lights unlit,70
2012-01-22,14:28:03,51.482200678087686,-0.43761373360801337,5,Wet / Damp,Raining,Daylight,70
2012-01-22,18:15:33,51.312329847479745,-0.046128056344851454,5,Snow,Fine,Darkness - lights lit,40
2012-01-22,09:38:18,51.65168173503415,-0.15674178603599742,1,Flood (Over 3cm of water),Fog,Darkness - lights lit,30
2012-01-22,22:23:43,51.30520408537035,-0.48590679428711414,2,Wet / Damp,Raining,Darkness - lights unlit,40
2012-01-22,06:17:51,51.67790003208409,-0.3112195383044389,1,Wet / Damp,Fog,Daylight,60
2012-01-23,06:59:44,51.495686499475234,-0.2721664087466286,2,Flood (Over 3cm of water),Fog,Daylight,60
2012-01-23,11:41:47,51.43677379742989,-0.410512042922942,2,Snow,Fine,Darkness - lights lit,50
2012-01-23,23:56:42,51.669687373937066,0.00522952779412833,1,Frost / ice,Raining,Darkness - lights lit,30
2012-01-23,14:21:03,51.30975639724404,-0.3060816989984888,4,Dry,Fog,Darkness - lights unlit,30
2012-01-23,04:21:48,51.532569957947636,-0.27790440030448926,3,Snow,Snowing,Daylight,40
2012-01-23,13:50:11,51.519573009799736,0.21859087856011794,3,Flood (Over 3cm of water),Fog,Darkness - lights lit,40
2012-01-23,00:46:51,51.38772816048455,-0.12630152584548843,3,Flood (Over 3cm of water),Raining,Daylight,60
2012-01-23,15:37:30,51.47155497254008,-0.1862974824245821,1,Flood (Over 3cm of water),Other,Darkness - lights lit,50
2012-01-23,20:01:22,51.56090560237751,0.07909683065177375,2,Wet / Damp,Fog,Darkness - lights unlit,20
2012-01-23,09:39:14,51.59085247875277,0.22769103750632969,2,Frost / ice,Snowing,Darkness - lights lit,40
2012-01-24,03:10:11,51.30028674348263,-0.47997093101004495,5,Wet / Damp,Snowing,Darkness - lights lit,30
2012-01-24,00:48:31,51.67474137203641,-0.1414089227556828,2,Wet / Damp,Fog,Darkness - lights lit,70
2012-01-24,18:41:10,51.365810148957124,-0.011374915137642161,4,Wet / Damp,Raining,Darkness - lights unlit,40
2012-01-24,23:16:03,51.39343217368894,-0.24514952149920832,3,Flood (Over 3cm of water),Fog,Darkness - lights unlit,50
2012-01-24,02:24:40,51.40538937827754,0.11792617769859337,4,Snow,Snowing,Darkness - lights unlit,30
2012-01-24,23:34:56,51.315128054620814,0.27718165621621915,3,Dry,Fog,Darkness - lights lit,70
2012-01-24,23:17:59,51.34922084943613,0.25474189300022665,1,Dry,Snowing,Darkness - lights lit,70
2012-01-24,19:48:15,51.69453996917767,-0.2872139684960465,4,Frost / ice,Other,Daylight,50
2012-01-24,03:05:11,51.42608669495091,-0.3189293772500112,2,Frost / ice,Fog,Darkness - lights unlit,30
2012-01-25,10:25:04,51.34612043613562,0.26599242481697694,3,Flood (Over 3cm of water),Fine,Darkness - lights unlit,40
2012-01-25,00:30:02,51.342796504469845,-0.13309721005482728,5,Dry,Fog,Darkness - lights lit,50
2012-01-25,02:15:55,51.58778398706799,-0.3333618215322466,4,Snow,Snowing,Darkness - lights unlit,60
2012-01-25,20:27:36,51.641827465613055,0.0655975709043346,1,Flood (Over 3cm of water),Raining,Daylight,30
2012-01-25,10:56:24,51.402780919803384,-0.27246374087696673,5,Frost / ice,Snowing,Darkness - lights unlit,50
2012-01-25,13:07:34,51.30836380493409,-0.2862024199431581,1,Flood (Over 3cm of water),Other,Darkness - lights unlit,50
2012-01-25,06:05:18,51.38923600737814,0.20339923446222785,3,Frost / ice,Raining,Darkness - lights unlit,20
2012-01-25,23:53:01,51.3226062763187,-0.3700166772984772,4,Dry,Fine,Daylight,20
2012-01-25,16:51:53,51.34135797465201,-0.44848564282701087,1,Flood (Over 3cm of water),Fine,Daylight,70
2012-01-26,08:25:06,51.472603247939055,-0.28465084786265016,5,Wet / Damp,Other,Darkness - lights unlit,40
2012-01-26,04:37:26,51.39196734834465,-0.014443669729436948,5,Frost / ice,Other,Daylight,60
2012-01-26,13:00:43,51.50637835141017,-0.40152971727738357,2,Wet / Damp,Other,Darkness - lights lit,60
2012-01-26,04:32:51,51.401397501302874,-0.12272426217856497,1,Frost / ice,Other,Darkness - lights unlit,50
2012-01-26,21:29:31,51.67621492044118,0.001869688340255915,4,Wet / Damp,Fog,Daylight,50
2012-01-26,00:34:09,51.66237758717051,0.17898959407453918,4,Dry,Snowing,Daylight,70
2012-01-26,08:46:56,51.526722442004186,-0.31610432703819646,2,Dry,Fog,Daylight,50
2012-01-26,05:48:52,51.441769596794956,0.15387705870623158,5,Snow,Raining,Darkness - lights lit,30
2012-01-26,08:17:35,51.4524587528139,-0.31207499109500914,1,Snow,Fine,Daylight,40
2012-01-27,17:03:54,51.4647409132578,0.0414132329917124,5,Snow,Fine,Darkness - lights lit,40
2012-01-27,20:11:34,51.59103172885398,-0.1554611428140359,1,Flood (Over 3cm of water),Raining,Darkness - lights lit,20
2012-01-27,11:56:56,51.480655598207534,-0.4082550060970639,1,Frost / ice,Fine,Daylight,70
2012-01-27,02:03:20,51.64269197860236,0.071410770257479,1,Flood (Over 3cm of water),Other,Darkness - lights lit,50
2012-01-27,11:50:42,51.67763791437215,-0.32578990516078576,5,Snow,Other,Daylight,50
2012-01-27,04:12:31,51.43437846135157,-0.3587012591803268,5,Frost / ice,Other,Daylight,30
2012-01-27,14:16:47,51.52427779255027,-0.21334165712849346,5,Flood (Over 3cm of water),Raining,Daylight,50
2012-01-27,18:31:30,51.33802261473302,0.022632195807586797,3,Dry,Snowing,Darkness - lights unlit,50
2012-01-27,01:14:59,51.38018761910654,-0.3128028169674978,5,Frost / ice,Raining,Darkness - lights lit,40
2012-01-28,01:44:55,51.46538630668407,-0.3530707689744914,2,Snow,Snowing,Darkness - lights lit,50
2012-01-28,16:24:00,51.38248108636071,-0.4920370994293085,3,Dry,Fine,Daylight,70
2012-01-28,03:23:03,51.65062419631549,-0.12268552231862112,1,Frost / ice,Fine,Darkness - lights lit,30
2012-01-28,08:08:19,51.363314502423634,-0.15708354454785378,4,Flood (Over 3cm of water),Fine,Daylight,30
2012-01-28,03:34:34,51.482264328621234,-0.31290580509009897,3,Snow,Snowing,Darkness - lights lit,60
2012-01-28,09:05:11,51.542279696183954,-0.4570782687922474,3,Flood (Over 3cm of water),Fine,Darkness - lights lit,60
